||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Abitibi--Baie-James--Nunavik--Eeyou|Bloc Québécois|10784
Abitibi--Baie-James--Nunavik--Eeyou|People's Party - PPC|1072
Abitibi--Baie-James--Nunavik--Eeyou|Conservative|4508
Abitibi--Baie-James--Nunavik--Eeyou|Liberal|7384
Abitibi--Baie-James--Nunavik--Eeyou|NDP-New Democratic Party|3323
Abitibi--Baie-James--Nunavik--Eeyou|Marijuana Party|329
Abitibi--Baie-James--Nunavik--Eeyou|Green Party|442
Abitibi--Témiscamingue|Green Party|748
Abitibi--Témiscamingue|Conservative|5339
Abitibi--Témiscamingue|Free Party Canada|857
Abitibi--Témiscamingue|People's Party - PPC|1536
Abitibi--Témiscamingue|Liberal|11013
Abitibi--Témiscamingue|Bloc Québécois|23125
Abitibi--Témiscamingue|Parti Rhinocéros Party|276
Abitibi--Témiscamingue|NDP-New Democratic Party|2776
Abitibi--Témiscamingue|Green Party|748
Abitibi--Témiscamingue|Conservative|5339
Abitibi--Témiscamingue|Free Party Canada|858
Abitibi--Témiscamingue|People's Party - PPC|1538
Abitibi--Témiscamingue|Liberal|11013
Abitibi--Témiscamingue|Bloc Québécois|23120
Abitibi--Témiscamingue|Parti Rhinocéros Party|275
Abitibi--Témiscamingue|NDP-New Democratic Party|2794
Ahuntsic-Cartierville|NDP-New Democratic Party|5836
Ahuntsic-Cartierville|People's Party - PPC|1315
Ahuntsic-Cartierville|Conservative|4249
Ahuntsic-Cartierville|Green Party|1511
Ahuntsic-Cartierville|Liberal|26400
Ahuntsic-Cartierville|Bloc Québécois|11115
Ahuntsic-Cartierville|NDP-New Democratic Party|5844
Ahuntsic-Cartierville|People's Party - PPC|1313
Ahuntsic-Cartierville|Conservative|4247
Ahuntsic-Cartierville|Green Party|1491
Ahuntsic-Cartierville|Liberal|26402
Ahuntsic-Cartierville|Bloc Québécois|11112
Alfred-Pellan|Free Party Canada|1467
Alfred-Pellan|Green Party|940
Alfred-Pellan|Conservative|6988
Alfred-Pellan|Bloc Québécois|13399
Alfred-Pellan|Liberal|24516
Alfred-Pellan|NDP-New Democratic Party|3946
Alfred-Pellan|Free Party Canada|1467
Alfred-Pellan|Green Party|940
Alfred-Pellan|Conservative|6988
Alfred-Pellan|Bloc Québécois|13399
Alfred-Pellan|Liberal|24516
Alfred-Pellan|NDP-New Democratic Party|3946
Argenteuil--La Petite-Nation|Bloc Québécois|17834
Argenteuil--La Petite-Nation|Liberal|19366
Argenteuil--La Petite-Nation|Conservative|6549
Argenteuil--La Petite-Nation|Free Party Canada|746
Argenteuil--La Petite-Nation|People's Party - PPC|2765
Argenteuil--La Petite-Nation|NDP-New Democratic Party|3385
Argenteuil--La Petite-Nation|Bloc Québécois|17842
Argenteuil--La Petite-Nation|Liberal|19371
Argenteuil--La Petite-Nation|Conservative|6547
Argenteuil--La Petite-Nation|Free Party Canada|686
Argenteuil--La Petite-Nation|People's Party - PPC|2777
Argenteuil--La Petite-Nation|NDP-New Democratic Party|3390
Avignon--La Mitis--Matane--Matapédia|People's Party - PPC|969
Avignon--La Mitis--Matane--Matapédia|Conservative|2912
Avignon--La Mitis--Matane--Matapédia|Free Party Canada|826
Avignon--La Mitis--Matane--Matapédia|NDP-New Democratic Party|1521
Avignon--La Mitis--Matane--Matapédia|Bloc Québécois|19776
Avignon--La Mitis--Matane--Matapédia|Liberal|7095
Avignon--La Mitis--Matane--Matapédia|People's Party - PPC|965
Avignon--La Mitis--Matane--Matapédia|Conservative|2912
Avignon--La Mitis--Matane--Matapédia|Free Party Canada|826
Avignon--La Mitis--Matane--Matapédia|NDP-New Democratic Party|1501
Avignon--La Mitis--Matane--Matapédia|Bloc Québécois|19776
Avignon--La Mitis--Matane--Matapédia|Liberal|7095
Beauce|People's Party - PPC|10347
Beauce|Free Party Canada|1099
Beauce|NDP-New Democratic Party|1637
Beauce|Liberal|6992
Beauce|Conservative|27488
Beauce|Marijuana Party|206
Beauce|Bloc Québécois|8606
Beauce|Green Party|486
